date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:43	87463/87463	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2015:59:51%20GMT	https://presidentmaga.xyz/	D:/trump%20site/hahah/presidentmaga.xyz/index.html	(from )
20:14:43	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%22d1fede7d743d6e9905e9ebc71d11f684%22	https://presidentmaga.xyz/robots.txt		(from )
20:14:43	3200/3200	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202024%2015:31:17%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/YBgrjM4VQJs4vq9O/trumpmaga-A0xw96aZeqfleOz6.png	D:/trump%20site/hahah/assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/YBgrjM4VQJs4vq9O/trumpmaga-A0xw96aZeqfleOz6.png	(from https://presidentmaga.xyz/)
20:14:44	257992/257992	---MCZ	200	added ('OK')	text/css	etag:W/%22e97c97e2dd24658d9805a966ebac6c2b%22	https://presidentmaga.xyz/_astro-1730908775362/_slug_.cJin-W40.css	D:/trump%20site/hahah/presidentmaga.xyz/_astro-1730908775362/_slug_.cJin-W40.css	(from https://presidentmaga.xyz/)
20:14:44	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://presidentmaga.xyz/t	D:/trump%20site/hahah/presidentmaga.xyz/t	(from https://presidentmaga.xyz/)
20:14:44	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://presidentmaga.xyz/%22./payload.js/%22></script>/n	D:/trump%20site/hahah/presidentmaga.xyz/_/payload.js/___/script_/n	(from https://presidentmaga.xyz/)
20:14:45	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://presidentmaga.xyz/%22./payload.js/%22></script>%22],%22customHeadElements%22:[0,%22%22],%22isPrivateModeActive%22:[0,false],%22demoEcommerceStoreId%22:[0,%22demo_01G0E9P2R0CFTNBWEEFCEV8EG5%22],%22shouldAddWWWPrefixToDomain%22:[0,false]}],%22domain%22:[0,%22presidentmaga.xyz%22],%22data-astro-cid-yzdvavkq%22:[0,true]}%22	D:/trump%20site/hahah/presidentmaga.xyz/_/payload.js/___/script__],_customHeadElements__[0,__],_isPrivateModeActive__[0,false],_demoEcommerceStoreId__[0,_demo_01G0E9P2R0CFTNBWEEFCEV8EG5_],_shouldAddWWWPrefixToDomain__[0,false]}],_domain__	(from https://presidentmaga.xyz/)
20:14:45	5236/5236	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Nov%202024%2012:39:31%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=69,h=65,fit=crop/YBgrjM4VQJs4vq9O/trumpmaga-mePvQqMoB7i21xPB.png	D:/trump%20site/hahah/assets.zyrosite.com/cdn-cgi/image/format=auto,w=69,h=65,fit=crop/YBgrjM4VQJs4vq9O/trumpmaga-mePvQqMoB7i21xPB.png	(from https://presidentmaga.xyz/)
20:14:45	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Nov%202024%2019:14:45%20GMT	https://presidentmaga.xyz/%22/	D:/trump%20site/hahah/presidentmaga.xyz/_/index.html	(from https://presidentmaga.xyz/)
20:14:45	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://presidentmaga.xyz/%22./payload.js/%22></script>%22],%22customHeadElements%22:[0,%22%22],%22isPrivateModeActive%22:[0,false],%22demoEcommerceStoreId%22:[0,%22demo_01G0E9P2R0CFTNBWEEFCEV8EG5%22],%22shouldAddWWWPrefixToDomain%22:[0,false]}],%22forms%22:[0,{%22Contact	D:/trump%20site/hahah/presidentmaga.xyz/_/payload.js/___/script__],_customHeadElements__[0,__],_isPrivateModeActive__[0,false],_demoEcommerceStoreId__[0,_demo_01G0E9P2R0CFTNBWEEFCEV8EG5_],_shouldAddWWWPrefixToDomain__[0,false]}],_forms__[	(from https://presidentmaga.xyz/)
